DATE,AAPL US Equity,GOOG US Equity,MSFT US Equity,IBM US Equity,GE US Equity,UKX Index,SPX Index,SPTSX Index,DJI Index,DAX Index
2000-10-25,1.3482,#N/A N/A,30.75,91.4375,51.2467,6438.4,1398.13,10352.1,10393.07,6802.81
2000-10-26,1.3214,#N/A N/A,30.625,87.5625,50.8862,6367.8,1364.9,9511.8,10326.48,6748.22
2000-10-27,1.3214,#N/A N/A,32.2188,92.75,50.1052,6302.3,1364.44,9428.7,10380.12,6767.9
2000-10-30,1.3259,#N/A N/A,33.8438,93.6875,50.2254,6366.5,1379.58,9321.9,10590.62,6924.68
2000-10-31,1.3795,#N/A N/A,34.5313,93.3125,51.9076,6388.4,1398.66,9253.1,10835.77,6926.57
2000-11-01,1.3973,#N/A N/A,34.4375,98.5,52.6886,6438.4,1429.4,9639.6,10971.14,7077.44
2000-11-02,1.4643,#N/A N/A,34.8125,98.5625,52.3281,6457.6,1421.22,9594,10899.47,7059.07
2000-11-03,1.5938,#N/A N/A,35.1563,101.9375,51.6072,6392,1428.32,9623.3,10880.51,7088.64
2000-11-06,1.5893,#N/A N/A,34.125,100.125,51.2467,6385.4,1426.69,9720.4,10817.95,7128.27
2000-11-07,1.5313,#N/A N/A,34.75,100.3125,52.3882,6431,1432.19,9714.2,10977.21,7136.3
2000-11-08,1.5223,#N/A N/A,35.25,102.3125,52.8087,6466.9,1431.87,9576.8,10952.18,7076.28
2000-11-09,1.433,#N/A N/A,34.7188,100,52.4483,6477.4,1409.28,9552.5,10907.06,7008.64
2000-11-10,1.442,#N/A N/A,35.4375,99.4375,52.4483,6442.2,1400.14,9411.5,10834.25,6959.5
2000-11-13,1.3616,#N/A N/A,33.6875,93,51.7874,6400.2,1365.98,9199.1,10602.95,6851.69
2000-11-14,1.3839,#N/A N/A,33.2188,97.4375,49.4444,6274.8,1351.26,9115.1,10517.25,6742.1
2000-11-15,1.4464,#N/A N/A,34.4063,99.5,50.706,6412.9,1382.95,9265.3,10681.06,6966.65
2000-11-16,1.4196,#N/A N/A,35.0313,99.375,50.4657,6432.3,1389.81,9187.1,10707.6,6961.09
2000-11-17,1.3571,#N/A N/A,34.4688,98.25,50.5859,6430.4,1372.32,8964.2,10656.03,6842.11
2000-11-20,1.3214,#N/A N/A,34.5313,101.9375,49.8649,6440.1,1367.72,8953,10629.87,6752.29
2000-11-21,1.3527,#N/A N/A,33.5938,103.25,48.1226,6345,1342.62,8935.1,10462.65,6609.48
2000-11-22,1.3438,#N/A N/A,33.875,98.5,48.7835,6382.1,1347.35,9013.9,10494.5,6678.07
2000-11-23,1.3438,#N/A N/A,33.875,98.5,48.7835,6221.4,1347.35,8844.6,10494.5,6510.54
2000-11-24,1.3214,#N/A N/A,34.125,98.5,46.6808,6287.3,1322.36,8924.7,10399.32,6601
2000-11-27,1.3795,#N/A N/A,34.9688,99.9375,47.4618,6327.6,1341.77,9024.4,10470.23,6664.18
